0,1,2,mse,ssim,lpips
manfishing.bmp,img78.bmp,2.1666380000000003,60.1631159702116,0.6008501476111228,0.19178617000579834
manfishing.bmp,img16.bmp,1.822887,56.71368638635611,0.6492249829081417,0.17494603991508484
manfishing.bmp,img47.bmp,1.106739,45.55644623059601,0.7970080791382613,0.11939318478107452
manfishing.bmp,img14.bmp,0.7916340000000001,36.51812679755509,0.8881789133283157,0.072943776845932
manfishing.bmp,img67.bmp,0.505175,16.009199640849097,0.9791542235512428,0.016192926093935966
sailing3.bmp,img144.bmp,3.5416410000000003,44.01890046296296,0.6602599841031133,0.182550847530365
ocean.bmp,img147.bmp,0.0,0.0,1.0,0.0
sailing3.bmp,img124.bmp,2.5103880000000003,37.80796296296296,0.7173397975309834,0.16022774577140808
sailing3.bmp,img114.bmp,1.45049,27.734205246913575,0.8225088657631926,0.11796340346336365
sailing3.bmp,img79.bmp,0.96351,19.693408564814813,0.8961058359532109,0.07634204626083374
sailing3.bmp,img111.bmp,0.562467,9.071855709876543,0.9729589393449752,0.021098917350172997
churchandcapitol.bmp,img104.bmp,7.66665,75.6093752277436,0.424707971156177,0.3249027729034424
sailing2.bmp,img168.bmp,0.0,0.0,1.0,0.0
churchandcapitol.bmp,img66.bmp,1.565074,49.23653267534955,0.7465916541261786,0.20573915541172028
churchandcapitol.bmp,img91.bmp,1.249969,44.81130961676609,0.8034149794377421,0.17977939546108246
churchandcapitol.bmp,img2.bmp,0.906218,38.29385742990703,0.8790163155292469,0.12677042186260223
churchandcapitol.bmp,img142.bmp,0.7343430000000001,33.04810465273657,0.9221126921962614,0.08506909757852554
monarch.bmp,img11.bmp,11.333325,70.61994594997829,0.5387702289016197,0.32199180126190186
monarch.bmp,img37.bmp,2.854139,41.01900906032985,0.7797191507801521,0.2606750428676605
monarch.bmp,img3.bmp,1.851533,29.898022121853298,0.8618662077470279,0.2057071328163147
monarch.bmp,img103.bmp,1.708303,27.794726901584202,0.8748870015311643,0.1925000697374344
monarch.bmp,img96.bmp,0.906218,14.88050333658854,0.950346768823384,0.08726035058498383
sailing4.bmp,img121.bmp,3.999975,58.181840684678825,0.5119007388283885,0.30979153513908386
studentsculpture.bmp,img155.bmp,0.0,0.0,1.0,0.0
house.bmp,img160.bmp,0.0,0.0,1.0,0.0
sailing4.bmp,img127.bmp,1.507782,41.26013014051649,0.7245610566440316,0.212204247713089
sailing4.bmp,img76.bmp,1.049447,33.94685702853732,0.8199863584123174,0.15455485880374908
sailing4.bmp,img89.bmp,0.7916340000000001,26.39272816975911,0.8908084807486706,0.10225533694028854
sailing4.bmp,img136.bmp,0.6770510000000001,22.094317118326828,0.92551331011591,0.07309964299201965
